Name,Layer,Subline,World,Type,HQ City,HQ State,HQ Country,Region,Founded,Total Funding ($M),Active Fleet,Real Miles (M),Simulated Miles (M),Spoken With,Exited,Acquired By,L4 Passenger Operator,Op Maturity,About,Known For,Website,Operating Footprint,Leadership,Business Model,Financing Notes,Investors Notes,Deployment Notes,Metrics Notes,Signal,Partner Count,Partners,Salience Score
Kraftfahrt-Bundesamt (KBA),Governance: Regulators & Government,Type-approved Mercedes-Benz Drive Pilot for consumer Level 3,Passenger loop,Regulator/Government,Flensburg,,Germany,Europe,1951,,,,,,,,,Active regulatory regime,German Federal Motor Transport Authority and a major type-approval authority for automated driving features such as Mercedes-Benz Drive Pilot.,,https://kba.de,Germany; EU type approval influence,Verify current public leadership before outreach,"Vehicle type approval, market surveillance, recalls and national vehicle registration data.",Government / public authority,,Germany and EU-recognized approvals.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",KBA's approval of Level 3 automated-driving functions made Germany a lead European market for consumer L3.,0,,9
Los Angeles Department of Transportation (LADOT),Governance: Regulators & Government,City mobility agency alongside Waymo's Los Angeles expansion,Passenger loop,Regulator/Government,Los Angeles,CA,US,North America,1979,,,,,,,,,Active regulatory regime,"City mobility agency relevant to robotaxi curb access, traffic operations, transit integration and public-space management in Los Angeles.",,,"Los Angeles, California",Verify current public leadership before outreach,"Local transportation planning, curb management, permits and street operations.",Government / public authority,,Los Angeles city streets.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Waymo's LA expansion made local coordination more strategically important despite state-level AV permitting.,0,,8
Miami-Dade Department of Transportation and Public Works,Governance: Regulators & Government,US state / local; city/county transport authority,Passenger loop,Regulator/Government,Miami,FL,US,North America,,,,,,,,,,Active regulatory regime,"County transportation agency relevant to curb, airport, transit interface and local traffic impacts of robotaxi service.",,,"Miami-Dade County, Florida",Verify current public leadership before outreach,"County transit, roads, curb and transportation operations.",Government / public authority,,Miami-Dade County.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","Miami is a targeted robotaxi market, making county-level curb and operations coordination important.",0,,7
MIIT (China),Governance: Regulators & Government,"Drafting China's first mandatory ADS standard, effective Jul 2027",Passenger loop,Regulator/Government,Beijing,,China,Greater China,2008,,,,,,,,,N/A,"Drafting China's first mandatory national ADS safety standard. A 2026 draft mandatory standard would require L3 systems to execute a minimal-risk maneuver themselves if the driver fails to respond — an L4-level fallback — and to carry an aircraft-style data recorder, proposed to take effect July 1, 2027.",,https://miit.gov.cn,,,,Government,N/A,,,Draft mandatory L3/L4 standard effective Jul 2027 (Feb 2026),0,,4
Ministry of Industry and Information Technology (MIIT),Governance: Regulators & Government,"Coordinates ICV policy, telecoms and pilot zones across China",Passenger loop,Regulator/Government,Beijing,,China,Greater China,2008,,,,,,,,,Active regulatory regime,"Central Chinese ministry overseeing intelligent connected vehicles, automotive industry policy, telecoms and AV pilot-zone policy coordination. A 2026 draft mandatory standard would require L3 systems to execute a minimal-risk maneuver themselves if the driver fails to respond — an L4-level fallback — and to carry an aircraft-style data recorder, proposed to take effect July 1, 2027.",,https://miit.gov.cn,China,Verify current public leadership before outreach,"Industrial policy, vehicle/ICV rules, pilot guidance and technology-sector oversight.",Government / public authority,,China national; municipal AV pilots operate within central guidance.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",China reportedly suspended new AV permits after a Baidu Apollo Go outage while authorities reviewed safety oversight.,0,,9
Ministry of Public Security of the People's Republic of China,Governance: Regulators & Government,Traffic policing arm of China's driverless permit policy stack,Passenger loop,Regulator/Government,Beijing,,China,Greater China,1949,,,,,,,,,Active regulatory regime,"Central ministry overseeing traffic policing, road-safety administration and licensing interfaces relevant to AV public-road operation.",,,China,Verify current public leadership before outreach,"Traffic safety, road policing, public security and vehicle/driver administrative systems.",Government / public authority,,China national; local public-security bureaus.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Public security agencies are part of the policy stack that governs road tests and driverless permits.,0,,8
Ministry of Transport (China),Governance: Regulators & Government,Runs staged robotaxi gates from safety-driver tests to paid service,Passenger loop,Regulator/Government,Beijing,,China,Greater China,2008,,,,,,,,,N/A,"Oversees road transport rules, robotaxi/commercial AV policy. Permits progress through staged gates — safety-driver testing, then driverless testing, then free public service, then paid commercial operation — with operators judged on total mileage, driverless mileage, miles per critical intervention and miles per accident.",,https://mot.gov.cn,,,,Government,N/A,,,Coordinating with MIIT on ADS rules; municipal license oversight,0,,4
Ministry of Transport of the People's Republic of China,Governance: Regulators & Government,Scores operators on driverless mileage and critical interventions,Passenger loop,Regulator/Government,Beijing,,China,Greater China,,,,,,,,,,Active regulatory regime,"Central transport ministry relevant to autonomous road transport, taxi services, road operations and freight deployment. Permits progress through staged gates — safety-driver testing, then driverless testing, then free public service, then paid commercial operation — with operators judged on total mileage, driverless mileage, miles per critical intervention and miles per accident.",,https://mot.gov.cn,China,Verify current public leadership before outreach,"Transport policy, road transport rules, passenger/freight oversight and safety coordination.",Government / public authority,,China national and provincial/municipal transport bureaus.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Central and local authorities intensified safety oversight of intelligent connected vehicle testing in 2026.,0,,8
National Transportation Safety Board (NTSB),Governance: Regulators & Government,US federal; safety investigation,Passenger loop,Regulator/Government,USA,DC,US,North America,1967,,,,,,,,,Active regulatory regime,Independent U.S. safety investigation board whose crash investigations and recommendations influence AV safety expectations.,,https://ntsb.gov,United States,Verify current public leadership before outreach,Independent accident investigation and safety recommendations; not a permitting body.,Government / public authority,,United States; selected transportation incidents.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","NTSB investigations remain important for public trust and post-incident learning, even though NTSB does not issue AV permits.",0,,9
Netherlands RDW,Governance: Regulators & Government,Dutch vehicle authority granting EU approvals and test exemptions,Passenger loop,Regulator/Government,Zoetermeer,,Netherlands,Europe,1949,,,,,,,,,Active regulatory regime,Dutch vehicle authority and EU type-approval body relevant to advanced ADAS and automated driving approvals.,,https://rdw.nl,Netherlands; EU type approval,Verify current public leadership before outreach,"Type approval, registration, market surveillance and testing exemptions.",Government / public authority,,Netherlands and EU approval markets.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",RDW remains a practical gateway for European vehicle approvals and automated-driving pilots.,0,,9
Nevada Department of Motor Vehicles (Nevada DMV),Governance: Regulators & Government,Permit home for Zoox and Motional robotaxi work in Las Vegas,Passenger loop,Regulator/Government,Carson City,NV,US,North America,,,,,,,,,,Active regulatory regime,Nevada state agency that administers AV testing/operation framework in a long-running AV test state.,,https://dmv.nv.gov,"Nevada, United States",Verify current public leadership before outreach,"State vehicle regulation, AV testing permits and road-operation rules.",Government / public authority,,Nevada public roads; Las Vegas is especially relevant.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Zoox and Motional have used Nevada/Las Vegas as a robotaxi testing and launch market.,1,Zoox,8
Nevada DMV,Governance: Regulators & Government,Early permissive AV statute with no level-specific certification,Passenger loop,Regulator/Government,Carson City,NV,US,North America,1957,,,,,,,,,N/A,Permissive AV rules; no AV-specific level certification,,https://dmv.nv.gov,,,,Government,N/A,,,Criticized as regulatory laggard despite permissive laws (Mar 2026),0,,4
New York State Department of Motor Vehicles,Governance: Regulators & Government,Permit path into a future high-demand New York robotaxi market,Passenger loop,Regulator/Government,Albany,,US,North America,1961,,,,,,,,,Active regulatory regime,State DMV relevant to any eventual New York AV testing and permit requirements.,,https://dmv.ny.gov,"New York, United States",Verify current public leadership before outreach,"Vehicle and driver licensing, state AV application review where applicable.",Government / public authority,,New York public roads.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","New York remains important as a future high-demand robotaxi market, but deployment is still heavily constrained.",0,,9
NHTSA,Governance: Regulators & Government,Proposed removing brake-pedal mandates for ADS-only vehicles,Passenger loop,Regulator/Government,USA,DC,US,North America,1970,,,,,,,,,Active regulatory regime,"Primary U.S. vehicle-safety regulator for automated vehicles, FMVSS compliance, recalls, investigations, SGO crash reporting, and exemption petitions.",The US federal vehicle-safety regulator: writes the FMVSS and runs every AV investigation.,https://nhtsa.gov,United States,Administrator changes frequently; verify current,"Federal motor vehicle safety standards, investigations, recalls, crash reporting, and exemption decisions.",Government / public authority,USDOT,National; applies to vehicles and ADS/Level 2 ADAS manufacturers operating in the U.S.,Proposed 2026 changes to rules for driver-control-free AVs and withdrew Biden-era AV framework proposal,NHTSA proposed removing manual brake-pedal requirements for vehicles designed only for ADS operation in June 2026.,3,Tesla Robotaxi / FSD | Waymo | Zoox,9
NHTSA Office of Automation Safety,Governance: Regulators & Government,Runs Standing General Order crash reporting for ADS incidents,Passenger loop,Regulator/Government,USA,DC,US,North America,,,,,,,,,,Active regulatory regime,"NHTSA office focused on automation safety, automated driving systems, crash reporting, and advanced-vehicle technology oversight.",,https://nhtsa.gov,United States,Verify current public leadership before outreach,"Specialized policy, data, and safety-analysis function within NHTSA.",Government / public authority,,"National; AV safety data, guidance and policy coordination.","Permits, rules, reporting or type-approval authority relevant to AV deployment.",NHTSA states it monitors AV safety through the Standing General Order and testing/deployment oversight tools.,0,,8
Office of Management and Budget / OIRA,Governance: Regulators & Government,US federal; rule review,Passenger loop,Regulator/Government,USA,DC,US,North America,,,,,,,,,,Active regulatory regime,"White House regulatory review office that reviews significant federal rules, including vehicle-safety rulemakings that affect AV deployment.",,,United States,Verify current public leadership before outreach,Centralized review of significant federal regulations and information-collection burdens.,Government / public authority,,United States federal rulemaking pipeline.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","The pace of AV rule updates depends partly on federal review, comment and clearance processes.",0,,7
Oregon Department of Transportation (ODOT),Governance: Regulators & Government,State roads agency where AV access awaits legal modernization,Passenger loop,Regulator/Government,Salem,,US,North America,1913,,,,,,,,,Active regulatory regime,State transportation agency relevant because Oregon has been discussed as a market needing AV-specific policy updates.,,,"Oregon, United States",Verify current public leadership before outreach,"State transportation planning, safety and roadway operations.",Government / public authority,,Oregon public roads.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Oregon is a watchlist jurisdiction where market access depends on legal and regulatory modernization.,0,,8
Phoenix Sky Harbor International Airport,Governance: Regulators & Government,Curb rules behind Waymo's early commercial airport integration,Passenger loop,Regulator/Government,Phoenix,AZ,US,North America,,,,,,,,,,Active regulatory regime,Airport authority and operating environment for one of the most mature airport robotaxi services.,,https://skyharbor.com,"Phoenix, Arizona",Verify current public leadership before outreach,"Airport curb, staging, terminal access and ground-transportation rules.",Government / public authority,,Phoenix Sky Harbor International Airport.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Waymo airport service in Phoenix became an early example of commercial AV airport integration.,0,,8
Qatar Ministry of Transport,Governance: Regulators & Government,Enabled Pony.ai's Doha pilot alongside Mowasalat/Karwa,Passenger loop,Regulator/Government,Doha,,Qatar,Middle East & Africa,,,,,,,,,,Active regulatory regime,Qatar transport ministry relevant to autonomous mobility pilots and smart-transport policy.,,,Qatar,Verify current public leadership before outreach,"National transport policy, road transport regulation and mobility pilots.",Government / public authority,,Qatar; Doha.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","Pony.ai announced a Doha pilot with Mowasalat/Karwa, making Qatar part of the Gulf AV expansion map.",0,,7
San Francisco International Airport Commission / SFO,Governance: Regulators & Government,Grants the airport access robotaxis need beyond state road permits,Passenger loop,Regulator/Government,San Francisco,CA,US,North America,,,,,,,,,,Active regulatory regime,Airport authority governing curb and airport access for AV ride-hail at SFO.,,https://flysfo.com,San Francisco Bay Area,Verify current public leadership before outreach,"Airport ground-transportation access, curb management and operating rules.",Government / public authority,,San Francisco International Airport.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Airport service is becoming a strategic robotaxi milestone and requires airport-specific permissions beyond broad road permits.,0,,8
San Francisco Municipal Transportation Agency (SFMTA),Governance: Regulators & Government,City agency managing robotaxi curb and emergency-response impacts,Passenger loop,Regulator/Government,San Francisco,CA,US,North America,1999,,,,,,,,,Active regulatory regime,"City transportation agency affected by robotaxi curb, transit, emergency-response and street-operations impacts, though state bodies control primary AV permits.",,https://sfmta.com,"San Francisco, California",Verify current public leadership before outreach,"Local street management, curb, transit, parking and enforcement coordination.",Government / public authority,,San Francisco streets and curb network.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Local agencies continue pressing for more control over state-authorized robotaxi operations.,0,,9
Saudi Transport General Authority (TGA),Governance: Regulators & Government,Gulf transport licensor watched for shuttle and freight AV pilots,Passenger loop,Regulator/Government,Riyadh,,Saudi Arabia,Middle East & Africa,2012,,,,,,,,,Active regulatory regime,"Saudi transport regulator relevant to autonomous mobility, taxis, buses and freight pilots in Saudi Arabia.",,https://tga.gov.sa,Saudi Arabia,Verify current public leadership before outreach,"Transport licensing, passenger/freight regulation and mobility-market oversight.",Government / public authority,,Saudi Arabia.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","Saudi Arabia is a watchlist Gulf market for AV shuttle, robotaxi and autonomous freight pilots.",0,,9
SFMTA,Governance: Regulators & Government,"Municipal transit voice into CPUC, DMV and NHTSA AV policy",Passenger loop,Regulator/Government,San Francisco,CA,US,North America,1999,,,,,,,,,N/A,Municipal transit agency; input to CPUC/DMV/NHTSA on AVs,,https://sfmta.com,,,,Government,N/A,,,Continues local AV policy engagement with state/federal (2026),0,,4
Shanghai Pudong New Area ICV / Robotaxi Pilot Authorities,Governance: Regulators & Government,Granted Pony.ai fully driverless commercial status in Pudong,Passenger loop,Regulator/Government,Shanghai,,China,Greater China,,,,,,,,,,Active regulatory regime,Shanghai/Pudong authorities supporting driverless robotaxi approvals and intelligent connected vehicle pilots.,,,"Shanghai, China",Verify current public leadership before outreach,"Municipal permitting, pilot-road designation and local transport coordination.",Government / public authority,,Shanghai and Pudong New Area.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Pony.ai received fully driverless commercial robotaxi permit status in Shanghai's Pudong New Area in 2025 reporting.,0,,7
Shenzhen Transport Bureau / ICV Pilot Authorities,Governance: Regulators & Government,Opened Shenzhen city centers to driverless robotaxi operation,Passenger loop,Regulator/Government,Shenzhen,,China,Greater China,,,,,,,,,,Active regulatory regime,Shenzhen transport and ICV authorities relevant to fully driverless robotaxi permits and city-center operations.,,,"Shenzhen, China",Verify current public leadership before outreach,"Municipal transport oversight, AV pilot permits and smart-city road policy.",Government / public authority,,Shenzhen city-center and pilot zones.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Pony.ai reported fully driverless robotaxi permit status in Shenzhen city centers in 2025.,0,,7
Singapore Land Transport Authority (LTA),Governance: Regulators & Government,Anchors Grab/WeRide and ComfortDelGro/Pony shuttle trials,Passenger loop,Regulator/Government,Singapore,,Singapore,Asia-Pacific,1995,,,,,,,,,Active regulatory regime,Singapore's land transport regulator and one of Asia's most disciplined AV testing and deployment authorities.,,https://lta.gov.sg,Singapore,Verify current public leadership before outreach,"Public-road trial approvals, AV test-bed governance, public transport integration and road regulation.",Government / public authority,,Singapore.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",LTA is central to Grab/WeRide and ComfortDelGro/Pony autonomous shuttle and robotaxi trials.,1,WeRide,9
Singapore LTA,Governance: Regulators & Government,Consulted the public on national AV legislation in mid-2026,Passenger loop,Regulator/Government,Singapore,,Singapore,Asia-Pacific,1995,,,,,,,,,N/A,Land transport regulator; drafting national AV legal framework,,https://lta.gov.sg,,,,Government,N/A,,,Public consultation on AV legislation ran May-Jun 2026,0,,4
"South Korea Ministry of Land, Infrastructure and Transport (MOLIT)",Governance: Regulators & Government,Sets Korea's vehicle standards and smart-city AV pilot rules,Passenger loop,Regulator/Government,Sejong,,South Korea,Asia-Pacific,1948,,,,,,,,,Active regulatory regime,"Korean transport ministry relevant to autonomous vehicle trials, smart-city mobility, vehicle standards and AV commercialization.",,https://molit.go.kr,South Korea,Verify current public leadership before outreach,"Vehicle standards, road transport policy, smart mobility and AV pilot regulation.",Government / public authority,,South Korea.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",South Korea remains a relevant Asia AV market through Hyundai/Kia and smart-city pilots.,0,,9
Swedish Transport Agency,Governance: Regulators & Government,Permits in the Volvo and Einride autonomous trucking heartland,Passenger loop,Regulator/Government,Norrkoping,,Sweden,Europe,2009,,,,,,,,,Active regulatory regime,"Swedish transport regulator relevant to automated-driving permits, trials and vehicle approvals.",,https://transportstyrelsen.se,Sweden,Verify current public leadership before outreach,"Transport permits, road-traffic rules, vehicle approvals and safety oversight.",Government / public authority,,Sweden.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Sweden is a relevant AV trucking and mobility test market because of Volvo/Einride/technology clusters.,0,,9
Switzerland Federal Roads Office (FEDRO / ASTRA),Governance: Regulators & Government,Motorway policy and trial approvals for Swiss robotaxi pilots,Passenger loop,Regulator/Government,Bern,,Switzerland,Europe,1998,,,,,,,,,Active regulatory regime,Swiss federal road authority relevant to autonomous vehicle trials and road-traffic regulation.,,https://astra.admin.ch,Switzerland,Verify current public leadership before outreach,"Road traffic regulation, motorway policy, trial approvals and safety oversight.",Government / public authority,,Switzerland.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Swiss robotaxi and AV pilots make the country a relevant controlled-test jurisdiction.,0,,9
Tennessee Department of Transportation (TDOT),Governance: Regulators & Government,"Highway operations amid Waymo, Lyft and Flexdrive Nashville plans",Passenger loop,Regulator/Government,Nashville,TN,US,North America,1915,,,,,,,,,Active regulatory regime,"State transportation agency relevant to Nashville robotaxi launch plans, roads, work zones and local coordination.",,,"Tennessee, United States",Verify current public leadership before outreach,"State road operations, traffic engineering and safety coordination.",Government / public authority,,Tennessee highways and local road interfaces.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Nashville became strategically relevant through Waymo/Lyft/Flexdrive commercialization planning.,0,,8
Texas Department of Motor Vehicles (TxDMV),Governance: Regulators & Government,"Registers fleets as Tesla, Aurora, Kodiak and Waymo scale in Texas",Passenger loop,Regulator/Government,Austin,TX,US,North America,2009,,,,,,,,,Active regulatory regime,"State motor vehicle agency relevant to registration, titling, motor-carrier and AV vehicle administration in Texas.",,https://txdmv.gov,"Texas, United States",Verify current public leadership before outreach,"Vehicle administration, registration, motor-carrier authority and state implementation.",Government / public authority,,Texas public roads and vehicle registrations.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","Tesla, Aurora, Kodiak, Waymo and other AV players use Texas as a scaling and testing state.",0,,9
Texas Department of Transportation (TxDOT),Governance: Regulators & Government,US state / local; freight corridors,Passenger loop,Regulator/Government,Austin,TX,US,North America,1917,,,,,,,,,Active regulatory regime,"State transportation agency central to Texas highway operations, freight corridors and AV trucking routes.",,https://txdot.gov,"Texas, United States",Verify current public leadership before outreach,"Roadway operations, state highway planning, work zones, freight corridors and safety coordination.",Government / public authority,,"Texas highways and corridors, including Sun Belt freight lanes.","Permits, rules, reporting or type-approval authority relevant to AV deployment.","Autonomous trucking's early commercial lanes are heavily Texas-centered, making TxDOT a practical deployment stakeholder.",0,,9
Texas DMV,Governance: Regulators & Government,Mandatory commercial AV operator authorization from May 2026,Passenger loop,Regulator/Government,Austin,TX,US,North America,2009,,,,,,,,,N/A,New mandatory AV commercial operator authorization program,,https://txdmv.gov,,,,Government,N/A,,,Authorization enforceable for commercial AV ops from May 2026,0,,4
Tokyo Metropolitan Government,Governance: Regulators & Government,Gulf / Asia; city transport authority,Passenger loop,Regulator/Government,Tokyo,,Japan,Asia-Pacific,1943,,,,,,,,,Active regulatory regime,City government relevant to Waymo's Tokyo data-collection and future robotaxi deployment pathway.,,https://metro.tokyo.lg.jp,"Tokyo, Japan",Verify current public leadership before outreach,"Local transport policy, road-use coordination and pilot support.",Government / public authority,,Tokyo metropolitan area.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Waymo's first international road-trip program targeted Tokyo with local partners.,0,,9
U.S. Department of Transportation (USDOT),Governance: Regulators & Government,"Federal umbrella over NHTSA, FMCSA and FHWA on AV rulemaking",Passenger loop,Regulator/Government,USA,DC,US,North America,1966,,,,,,,,,Active regulatory regime,Cabinet-level transportation department that sets national transport policy and houses the main federal AV safety agencies.,,https://transportation.gov,United States,Verify current public leadership before outreach,"National policy, rulemaking coordination, grants, and modal-agency oversight.",Government / public authority,,"Federal umbrella over NHTSA, FMCSA, FHWA and other modal agencies.","Permits, rules, reporting or type-approval authority relevant to AV deployment.",2025 and 2026 federal AV activity centered on modernizing rules and exemption pathways.,0,,9
UAE Ministry of Energy and Infrastructure / Federal Transport Authorities,Governance: Regulators & Government,Federal coordination as Dubai and Abu Dhabi scale AV pilots,Passenger loop,Regulator/Government,Abu Dhabi,,UAE,Middle East & Africa,,,,,,,,,,Active regulatory regime,"Federal infrastructure and transport policy bodies relevant to national AV strategy, inter-emirate transport and vehicle frameworks.",,,United Arab Emirates,Verify current public leadership before outreach,"Federal mobility, roads and infrastructure policy.",Government / public authority,,United Arab Emirates.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Federal coordination matters as Dubai and Abu Dhabi both scale AV pilots.,0,,7
UK CCAV / AV Act,Governance: Regulators & Government,Spring 2026 pilots ahead of full AV Act rollout in H2 2027,Passenger loop,Regulator/Government,London,,UK,Europe,2015,,,,,,,,,N/A,DfT unit implementing AV Act 2024; licenses AV passenger services,,https://gov.uk,,,,Government,N/A,,,Spring 2026 pilots confirmed; full Act implementation H2 2027,0,,4
UK CCAV / DfT,Governance: Regulators & Government,Coordinates the Automated Vehicles Act 2024 regime and London pilots,Passenger loop,Regulator/Government,London,,UK,Europe,2015,,,,,,,,,Active regulator,"UK government center coordinating connected and automated mobility policy, pilots and implementation of the Automated Vehicles Act.",,https://gov.uk,United Kingdom,UK DfT / CCAV leadership,Policy / regulator coordination,Government,,UK AV trials and 2026 robotaxi pilot framework,Automated Vehicles Act 2024 established regulatory regime; London pilots planned,UK robotaxi market opening,0,,9
UK Centre for Connected and Autonomous Vehicles (CCAV),Governance: Regulators & Government,Funds and steers UK self-driving trials accelerating into 2026,Passenger loop,Regulator/Government,London,,UK,Europe,2015,,,,,,,,,Active regulatory regime,"UK government unit for connected and automated mobility policy, trials, funding and Automated Vehicles Act implementation.",,https://gov.uk,United Kingdom,Verify current public leadership before outreach,"Policy development, trials, industry development and cross-government coordination.",Government / public authority,,United Kingdom; especially London and trial corridors.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","UK trials accelerated for 2026, while broader Automated Vehicles Act implementation is expected around 2027.",0,,9
UK Department for Transport (DfT),Governance: Regulators & Government,"Transport ministry as Waymo, Uber/Wayve and Baidu eye London",Passenger loop,Regulator/Government,London,,UK,Europe,1919,,,,,,,,,Active regulatory regime,"UK transport ministry responsible for road transport, automated-vehicle policy, trials and implementation of the Automated Vehicles Act regime.",,https://gov.uk,United Kingdom,Verify current public leadership before outreach,"National transport policy, legislation, trials and authorization framework.",Government / public authority,,United Kingdom.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.","London has become a global robotaxi trial target for Waymo, Uber/Wayve and Baidu-linked platforms.",0,,9
UK Vehicle Certification Agency (VCA),Governance: Regulators & Government,UK type-approval arm for maturing self-driving authorizations,Passenger loop,Regulator/Government,Bristol,,UK,Europe,1988,,,,,,,,,Active regulatory regime,UK executive agency and type-approval authority relevant to vehicle certification and AV authorization interfaces.,,https://gov.uk,United Kingdom; international type approval services,Verify current public leadership before outreach,"Vehicle type approval, certification and regulatory compliance services.",Government / public authority,,UK and international vehicle manufacturers seeking UK approvals.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",VCA will matter for vehicle certification as UK self-driving authorizations mature.,0,,9
UNECE WP.29,Governance: Regulators & Government,GRVA's UN-wide ADS regulation headed to a June 2026 vote,Passenger loop,Regulator/Government,Geneva,,Switzerland,Europe,1952,,,,,,,,,N/A,"UN forum harmonizing global vehicle automation regulations. In 2026 WP.29 adopted the first UN Global Technical Regulation on Automated Driving Systems, jointly led by China, the EU, UK, US, Canada and Japan.",,https://unece.org,,,,Government,N/A,,,"GRVA finalizing UN regulation/GTR on ADS, vote Jun 2026",0,,4
UNECE WP.29 / GRVA,Governance: Regulators & Government,Europe / UK; international vehicle regulation,Passenger loop,Regulator/Government,Geneva,,Switzerland,Europe,1952,,,,,,,,,Active regulatory regime,"UN vehicle-regulation forum and working groups that develop global technical regulations and UN regulations for automated, connected and cyber-secure vehicles. In 2026 WP.29 adopted the first UN Global Technical Regulation on Automated Driving Systems, jointly led by China, the EU, UK, US, Canada and Japan.",,https://unece.org,"UNECE contracting parties; Europe, Japan, Korea and other WP.29 participants",Verify current public leadership before outreach,International vehicle regulatory harmonization and technical-regulation development.,Government / public authority,,"WP.29 contracting parties; rules influence EU, UK, Japan and other type-approval systems.","Permits, rules, reporting or type-approval authority relevant to AV deployment.","UN Regulations 155, 156, 157 and 171 remain central to cyber, software updates, ALKS and driver-control assistance regulation.",0,,9
USDOT,Governance: Regulators & Government,Convened the first National AV Safety Forum in 2026,Passenger loop,Regulator/Government,Washington,DC,US,North America,1966,,,,,,,,,N/A,Cabinet department overseeing transportation incl. AV policy,,https://transportation.gov,,Sean Duffy (Secretary),,Government,N/A,,,Hosted first National AV Safety Forum (2026),0,,5
Wuhan Intelligent Connected Vehicle Pilot Authorities,Governance: Regulators & Government,Oversees one of Apollo Go's highest-scale robotaxi deployments,Passenger loop,Regulator/Government,Wuhan,,China,Greater China,,,,,,,,,,Active regulatory regime,Wuhan local authorities overseeing one of China's highest-scale Apollo Go robotaxi deployments.,,,"Wuhan, China",Verify current public leadership before outreach,Municipal ICV pilot administration and operational oversight.,Government / public authority,,Wuhan designated robotaxi operating areas.,"Permits, rules, reporting or type-approval authority relevant to AV deployment.",Baidu's Wuhan outage reportedly triggered a pause in new autonomous vehicle permits in China.,0,,7
3GPP,"Governance: Standards, Safety & Advocacy",Cellular standards body defining C-V2X and 5G for smart roads,Passenger loop,Standards/Safety Body,Sophia Antipolis,,France,Europe,1998,,,,,,,,,Active standard setter,"Global mobile standards partnership defining cellular technologies, including C-V2X and 5G capabilities relevant to AV infrastructure.",,https://3gpp.org,United States; selected international influence,Organizational partners,Standards development,Standards partnership,,Global telecom ecosystem,5G and C-V2X standards influence connected and cooperative driving,V2X is not required for all AVs but matters for smart-road and fleet-infrastructure strategies,0,,9
AAA Foundation for Traffic Safety,"Governance: Standards, Safety & Advocacy",Research on driver understanding and misuse of automation,Passenger loop,Standards/Safety Body,USA,DC,US,North America,1947,,,,,,,,,Active research body,"Research foundation studying driver behavior, vehicle technology and road safety.",,https://aaafoundation.org,United States; selected international influence,Executive Director: David Yang,Research and public safety education,Non-profit foundation,,United States,"Publishes traffic safety research, including automation-related driver understanding studies",Useful for public trust and driver-misuse evidence,0,,9
Advocates for Highway and Auto Safety,"Governance: Standards, Safety & Advocacy",Coalition pushing stronger vehicle and highway safety rules,Passenger loop,Association/Advocacy,USA,DC,US,North America,1989,,,,,,,,,Active safety advocate,"Safety advocacy coalition pushing stronger vehicle and highway safety rules, including around automation.",,https://saferoads.org,United States; selected international influence,President: Cathy Chase,Safety advocacy,Non-profit advocacy coalition,,United States,Advocacy around AV oversight and vehicle-safety legislation,Counterweight to industry-led deployment arguments,0,,9
Alliance for Automotive Innovation,"Governance: Standards, Safety & Advocacy",Light-duty OEM trade voice on FMVSS and ADAS policy,Passenger loop,Association/Advocacy,USA,DC,US,North America,2020,,,,,,,,,Active association,"Major automaker trade association focused on vehicle safety, technology, EVs and federal policy.",,https://autosinnovate.org,United States; selected international influence,President/CEO: John Bozzella,Trade association advocacy,Industry trade association,,United States,Represents light-duty OEMs and suppliers,"Important because OEMs need workable ADAS/ADS, safety and FMVSS policy",0,,9
